path_x0,path_y0,path_distance00,path_x01,path_y01,path_distance01,path_x02,path_y02,path_distance02,path_x03,path_y03,path_distance03,path_x04,path_y04,path_distance04,path_x05,path_y05,path_distance05,path_x06,path_y06,path_distance06,path_x07,path_y07,path_distance07,path_x08,path_y08,path_distance08,path_x09,path_y09,path_distance09,path_x1,path_y1,path_distance1
-76.48497364,0,3.72989E-05,-78.23814549,0.134429593,0.037214348,-78.32539196,-0.210681039,-0.036851431,-78.31773827,-0.477234691,-0.078890738,-78.41068618,-0.839651963,-0.083017938,-78.42204833,-1.212430455,-0.083154492,-78.44768275,-1.496850111,-0.085499973,-78.37670657,-1.852529531,-0.09575399,-78.44990996,-2.172553443,-0.104979343,-78.52275874,-2.390726189,-0.110627642,-78.46745636,-2.708956931,-0.121239069
-76.81252985,0,3.79113E-05,-78.57860712,0.134454691,0.03738849,-78.66745235,-0.212100777,-0.036725264,-78.66070737,-0.479955683,-0.078627289,-78.75398592,-0.843844952,-0.082940862,-78.76467186,-1.218017325,-0.083201747,-78.79198703,-1.503832186,-0.085489427,-78.72081747,-1.860952806,-0.095759332,-78.79438844,-2.182483029,-0.104896527,-78.86843969,-2.401747717,-0.110560542,-78.81316917,-2.721413014,-0.121131433
-77.13909651,0,3.84466E-05,-78.91809875,0.134460741,0.037541865,-79.00852931,-0.213537384,-0.03658644,-79.00269618,-0.482687729,-0.078342692,-79.09629148,-0.84804885,-0.082828072,-79.10630706,-1.223603268,-0.08320825,-79.13529644,-1.510808475,-0.085436837,-79.06394482,-1.869367911,-0.095709114,-79.13787561,-2.192397865,-0.104755484,-79.21313146,-2.41274936,-0.110438477,-79.1578987,-2.733847452,-0.120960067
-77.4646746,0,3.8907E-05,-79.25661697,0.134448348,0.037672293,-79.34862068,-0.214993216,-0.036433726,-79.34369856,-0.485434417,-0.078034728,-79.43760823,-0.852262115,-0.082682603,-79.44695725,-1.229186363,-0.083177079,-79.47761494,-1.517777864,-0.085344523,-79.40608285,-1.877772367,-0.095606607,-79.48037933,-2.202297886,-0.104557564,-79.55683938,-2.423736045,-0.110258176,-79.50164933,-2.746261521,-0.120725569
-77.78926494,0,3.92948E-05,-79.59416541,0.134412038,0.037783637,-79.6877285,-0.216463707,-0.036272921,-79.68371816,-0.488194357,-0.077706304,-79.77794221,-0.856485785,-0.082504986,-79.78662579,-1.234768122,-0.08310797,-79.81894609,-1.52474312,-0.085211001,-79.74723737,-1.886166528,-0.095452668,-79.82189408,-2.212185276,-0.104301544,-79.89955731,-2.434708461,-0.110020392,-79.84441467,-2.758653888,-0.120430869
-78.1128682,0,3.96129E-05,-79.93074348,0.134352503,0.037873572,-80.02585397,-0.217949282,-0.03610493,-80.02276048,-0.490971764,-0.077354813,-80.11728722,-0.860719868,-0.082296697,-80.1253082,-1.240348365,-0.083002311,-80.15928516,-1.531701872,-0.085039844,-80.08740254,-1.894551586,-0.09524717,-80.16242361,-2.222057755,-0.103991029,-80.24129544,-2.445671442,-0.109722421,-80.18619912,-2.771022666,-0.120079966
-78.43548542,0,3.98644E-05,-80.26635036,0.134266132,0.037944063,-80.36299424,-0.219451647,-0.035929427,-80.3608175,-0.4937718,-0.076976662,-80.45564876,-0.86496091,-0.082062845,-80.46300818,-1.245925508,-0.082863114,-80.49863792,-1.538654055,-0.084832641,-80.42658208,-1.902925351,-0.094993739,-80.50197145,-2.231915984,-0.103626812,-80.58204419,-2.456627131,-0.109363772,-80.5270083,-2.783371561,-0.119671452
-78.75711742,0,4.00527E-05,-80.60099348,0.134148179,0.037998141,-80.69915144,-0.220970608,-0.035748068,-80.69789588,-0.496591949,-0.076576132,-80.79303108,-0.869210457,-0.081803552,-80.79972892,-1.251500636,-0.082690846,-80.83699986,-1.545600499,-0.084590018,-80.76477975,-1.911289147,-0.094692605,-80.84053194,-2.241759327,-0.103210866,-80.92181102,-2.46757174,-0.108950576,-80.86683586,-2.795701472,-0.119206454
-79.07776476,0,4.01814E-05,-80.93467321,0.134002634,0.038029992,-81.03432912,-0.222511114,-0.03555744,-81.03400377,-0.49943587,-0.07615142,-81.12942734,-0.873467511,-0.08152139,-81.13546641,-1.257072034,-0.082488834,-81.17437414,-1.552538346,-0.084316658,-81.10199053,-1.919643349,-0.094344826,-81.17810881,-2.251585381,-0.102747367,-81.26060219,-2.478506757,-0.108483792,-81.20569302,-2.808015061,-0.11868512
-79.39742836,0,4.02544E-05,-81.26738914,0.133827187,0.038039941,-81.36852508,-0.224076761,-0.03535552,-81.36913364,-0.502306732,-0.07570117,-81.46484196,-0.877731078,-0.081219129,-81.47022435,-1.262639573,-0.082259074,-81.51076507,-1.559469461,-0.084012727,-81.43821869,-1.92798627,-0.093953835,-81.51470727,-2.261397101,-0.102235344,-81.59840947,-2.489430786,-0.107966956,-81.54357043,-2.820318403,-0.118103577
